Paper,Experiment,Task,Mean d',SD,SD obtained from:,# of observations to calculate d',TotalTrials,# of subs tested,Base d',Ref  d',Comp d',any >1.86,both d' >1.86,Increase in d',Inferential test used,Reported correction factor?,Journal,Notes
Takagi et al. (2014),1,Visual go/no-go (inhalant group),2.81,0.99,Table 2,300 (270 'Go'),300,19,,,,,,,ANOVA,.05 adjustment for scores of 1 and 0,Substance Use & Misuse,
,,Visual go/no-go (cannabis group),3.33,0.96,Table 2,300 (270 'Go'),300,19,4,2.81,3.33,0,1,0.52,,,,
,,Visual go/no-go (control group),3.52,0.61,Table 2,300 (270 'Go'),300,19,4,2.81,3.52,0,1,0.71,,,,
Rosenstreich & Ruderman (2016),1,Visual memory old/new (full attention),2.48,1.11,Results (p.53),40 (20 studied),40,66,2,1.1,2.48,1,0,1.38,ANCOVA,none reported,Consciousness & Cognition,
,,Visual memory old/new (divided attention),1.1,0.52,Results (p.53),40 (20 studied),40,66,,,,,,,,,,
Moseley et al. (2016),1,"Auditory yes/no (high, positive, AVI)",1.12,0.6,Table 1,40 (22 present),40,61,2,0.98,1.12,0,0,0.14,ANOVA,none reported,Cognition,
,,"Auditory yes/no (high, positive, non-AVI)",0.98,0.6,Table 1,40 (22 present),40,61,,,,,,,,,,
,,"Auditory yes/no (high, negative, AVI)",1.1,0.7,Table 1,40 (22 present),40,61,2,1.03,1.1,0,0,0.07,,,,
,,"Auditory yes/no (high, negative, non-AVI)",1.03,0.5,Table 1,40 (22 present),40,61,,,,,,,,,,
,,"Auditory yes/no (low, positive, AVI)",0.92,0.6,Table 1,40 (22 present),40,59,,,,,,,,,,
,,"Auditory yes/no (low, positive, non-AVI)",0.93,0.6,Table 1,40 (22 present),40,59,2,0.92,0.93,0,0,0.01,,,,
,,"Auditory yes/no (low, negative, AVI)",0.9,0.5,Table 1,40 (22 present),40,59,,,,,,,,,,
,,"Auditory yes/no (low, negative, non-AVI)",1,0.6,Table 1,40 (22 present),40,59,2,0.9,1,0,0,0.1,,,,
,2,"Auditory yes/no (high, high, cued)",0.87,0.6,Table 2,40 (22 present),40,32,2,0.86,0.87,0,0,0.01,"ANOVA, Mann-Whitney U tests",,,
,,"Auditory yes/no (high, high, non-cued)",0.86,0.6,Table 2,40 (22 present),40,32,,,,,,,,,,
,,"Auditory yes/no (high, low, cued)",1.4,0.5,Table 2,40 (22 present),40,32,2,1.14,1.4,0,0,0.26,,,,
,,"Auditory yes/no (high, low, non-cued)",1.14,0.6,Table 2,40 (22 present),40,32,,,,,,,,,,
,,"Auditory yes/no (low, high, cued)",1.23,0.6,Table 2,40 (22 present),40,28,2,1.03,1.23,0,0,0.2,,,,
,,"Auditory yes/no (low, high, non-cued)",1.03,0.5,Table 2,40 (22 present),40,28,,,,,,,,,,
,,"Auditory yes/no (low, low, cued)",1.04,0.7,Table 2,40 (22 present),40,28,,,,,,,,,,
,,"Auditory yes/no (low, low, non-cued)",1.11,0.7,Table 2,40 (22 present),40,28,2,1.04,1.11,0,0,0.07,,,,
Zeljko & Grove (2017),1,Auditory yes/no (high/present),3.9,0.5,Results (p.190),64 (32 present),64,26,5,3.73,3.9,0,1,0.17,ANOVA,none reported,Perception,
,,Auditory yes/no (high/absent),3.75,0.44,Results (p.190),64 (32 present),64,26,5,3.73,3.75,0,1,0.02,,,,
,,Auditory yes/no (low/present),3.78,0.5,Results (p.190),64 (32 present),64,26,5,3.73,3.78,0,1,0.05,,,,
,,Auditory yes/no (low/absent),3.73,0.5,Results (p.190),64 (32 present),64,26,,,,,,,,,,
,2,Auditory yes/no (streaming/high),1.77,0.75,Results (p.195),80 (40 present),80,38,1,0.68,1.77,0,0,1.09,ANOVA,,,
,,Auditory yes/no (streaming/low),0.68,0.43,Results (p.195),80 (40 present),80,38,,,,,,,,,,
,,Auditory yes/no (bounce/high),2.2,0.59,Results (p.195),80 (40 present),80,38,1,0.68,2.2,1,0,1.52,,,,
,,Auditory yes/no (bounce/low),1.08,0.48,Results (p.195),80 (40 present),80,38,1,0.68,1.08,0,0,0.4,,,,
Elsherif et al. (2017),1,Visual yes/no (fearful/canonical),1.28,1.52,Table 1,64 (32 present),64,22,1,0.47,1.28,0,0,0.81,ANOVA,Scores of 1 replaced by 1-1/(# trials per condition)*2,PLoS ONE,
,,Visual yes/no (fearful/scrambled),1.58,0.95,Table 1,64 (32 present),64,22,1,0.47,1.58,0,0,1.11,,Scores of 0 replaced by 1/(#of trials per condition)*2,,
,,Visual yes/no (neutral/canonical),0.47,0.99,Table 1,64 (32 present),64,22,,,,,,,,,,
,,Visual yes/no (neutral/scrambled),0.71,0.56,Table 1,64 (32 present),64,22,1,0.47,0.71,0,0,0.24,,,,
,2,Visual yes/no (fearful/canonical),1.68,0.88,Table 2,80 (40 present),80,15,2,0.78,1.68,0,0,0.9,,,,
,,Visual yes/no (fearful/scrambled),1.46,0.81,Table 2,80 (40 present),80,15,2,0.78,1.46,0,0,0.68,ANOVA,,,
,,Visual yes/no (happy/canonical),0.78,0.81,Table 2,80 (40 present),80,15,,,,,,,,,,
,,Visual yes/no (happy/scrambled),0.97,0.64,Table 2,80 (40 present),80,15,2,0.78,0.97,0,0,0.19,,,,
,3,Visual yes/no (fearful eye/canonical),2.34,0.8,Table 3,100 (50 present),100,20,1,0.6,2.34,1,0,1.74,ANOVA,,,
,,Visual yes/no (fearful eye/scrambled),2.07,0.89,Table 3,100 (50 present),100,20,1,0.6,2.07,1,0,1.47,,,,
,,Visual yes/no (happy eye/canonical),1.5,0.44,Table 3,100 (50 present),100,20,1,0.6,1.5,0,0,0.9,,,,
,,Visual yes/no (happy eye/scrambled),1.23,0.58,Table 3,100 (50 present),100,20,1,0.6,1.23,0,0,0.63,,,,
,,Visual yes/no (fearful mouth/canonical),0.6,0.63,Table 3,80 (40 present),80,20,,,,,,,,,,
,,Visual yes/no (fearful mouth/scrambled),1.12,0.47,Table 3,80 (40 present),80,20,1,0.6,1.12,0,0,0.52,,,,
,,Visual yes/no (happy mouth/canonical),1.12,0.7,Table 3,80 (40 present),80,20,1,0.6,1.12,0,0,0.52,,,,
,,Visual yes/no (happy mouth/scrambled),1.31,0.83,Table 3,80 (40 present),80,20,1,0.6,1.31,0,0,0.71,,,,
McKague et al. (2012),1,"Visual old/new (positive, low AVH)",1.92,0.76,Table 2,96 (48 studied),96,20,3,1.51,1.92,1,0,0.41,ANOVA,Scores of 0 replaced by 0.5,Cognitive Neuropsychiatry,
,,"Visual old/new (positive, high AVH)",1.51,0.76,Table 2,96 (48 studied),96,20,,,,,,,,,,
,,"Visual old/new (negative, low AVH)",1.78,0.89,Table 2,96 (48 studied),96,20,3,1.51,1.78,0,0,0.27,,,,
,,"Visual old/new (negative, high AVH)",1.56,0.82,Table 2,96 (48 studied),96,20,3,1.51,1.56,0,0,0.05,,,,
Yoon et al. (2014),1,Visual yes/no (angry),1.93,0.66,Results (p. 555),80 (40 present),80,88,2,1.22,1.93,1,0,0.71,t-test,100% HR adjusted: (# signal trials-0.5)/# signal trials,Cognitive Therapy & Research,
,,Visual yes/no (happy),1.22,0.65,Results (p. 555),80 (40 present),80,88,,,,,,,,FA of 0 replaced with 0.5/#noise trials,,
Fassnidge et al. (2017),1,Auditory yes/no (auditory only),3.14,1.22,Results (p.19),120,120,37,3,1.74,3.14,1,0,1.4,t-test,none reported,Consciousness & Cognition,
,,Auditory yes/no (audiovisual),1.74,0.79,Results (p.19),120,120,37,,,,,,,,,,
Forrin et al. (2016),1,"Visual old/new (mixed, aloud)",2.27,0.81,Table 1,40 (20 studied),40,134,3,1.61,2.27,1,0,0.66,ANOVA,ceiling HR and floor FA rates adjusted by using the 1/2N correction,JEP: LMC,
,,"Visual old/new (mixed, silent)",1.61,0.69,Table 1,40 (20 studied),40,134,,,,,,,,,,
